OrderID,OrderDate,Gender,AgeGroup,Channel,ShipDate,ItemCode,MapCode,Quantity,Revenue,Cost
104423177,2017-04-09,Male,30s,Online,2017-04-16,D10001,4,54,65056.1,42288.741
104440343,2019-02-01,Female,40s,Online,2019-02-04,B10001,26,55,31156.0,25963.316
104455792,2019-05-25,Female,30s,Offline,,C10004,5,82,30014.4,24085.530
104461371,2018-11-28,Female,20s,Online,2018-11-29,D10001,8,51,14423.7,11271.663
104477250,2017-03-25,Female,40s,Online,2017-03-27,C10005,39,51,32930.3,27441.917
104540336,2017-05-13,Male,20s,Offline,,C10004,41,51,23320.9,17723.427
104564368,2018-03-27,Male,30s,Offline,,C10002,15,92,16905.9,14020.158
104565656,2020-03-17,Male,30s,Offline,,C10003,4,59,38626.4,32188.676
104675519,2020-01-13,Male,50s,Online,2020-01-16,C10007,27,96,30896.5,25747.080
104710280,2019-04-23,Male,30s,Offline,,D10002,5,91,35401.4,14920.542
104733884,2020-09-30,Male,50s,Offline,2020-10-05,C10005,41,89,33292.7,18714.982
104785382,2020-06-15,Female,30s,Online,2020-06-20,C10003,5,42,30850.2,15019.361
104803407,2019-08-25,Male,30s,Online,2019-08-28,C10004,32,55,37980.9,31650.782
104807698,2019-03-26,Male,50s,Online,2019-03-29,A10002,27,47,38511.0,32092.512
104821002,2018-11-04,Female,50s,Offline,,C10003,3,59,12904.0,10753.356
104895246,2020-06-25,Male,50s,Online,2020-06-28,A10002,16,56,31814.9,14258.963
104934298,2018-02-21,Female,20s,Offline,,B10001,1,44,17636.6,14697.207
104953181,2019-02-13,Female,20s,Online,2019-02-17,A10001,4,41,39186.4,32655.334
104988372,2017-06-23,Female,30s,Offline,2017-06-25,B10001,16,49,24457.7,20381.442
105005109,2020-05-26,Female,20s,Online,2020-05-27,C10004,24,72,31343.7,24645.258
105035150,2017-01-07,Female,20s,Offline,,B10001,4,88,93290.7,14327.753
105105960,2020-04-02,Male,20s,Online,2020-04-03,D10001,12,60,35511.9,29593.279
105114543,2019-12-26,Male,50s,Offline,,C10007,1,85,38860.7,32383.920
105114972,2020-05-04,Female,30s,Offline,2020-05-05,C10005,4,25,39178.5,32648.764
105133426,2020-01-18,Female,60s,Online,2020-01-22,C10004,4,60,30489.6,25407.994
105167329,2018-01-13,Female,30s,Offline,,B10001,17,60,92028.0,16649.825
105179345,2019-03-15,Male,60s,Online,2019-03-19,C10002,26,36,38931.8,37794.921
105190503,2017-06-21,Male,40s,Offline,,B10001,15,65,64246.4,24528.896
105224835,2020-05-15,Female,60s,Online,2020-05-21,C10007,35,48,39355.0,20893.308
105248010,2018-10-16,Female,20s,Online,2018-10-18,B10001,20,67,17281.5,14401.283
105281484,2017-05-15,Female,60s,Offline,,C10002,17,47,75374.5,14047.859
105297362,2020-09-02,Male,60s,Online,2020-09-02,C10001,40,72,38432.1,25740.160
105312383,2020-03-13,Female,30s,Online,2020-03-19,C10003,5,60,36841.4,20988.894
105334699,2020-01-08,Female,30s,Online,2020-01-10,C10007,37,45,38596.0,15570.711
105364310,2018-08-21,Male,60s,Online,2018-08-27,C10001,38,48,19076.7,15897.280
105369031,2017-07-23,Male,50s,Offline,,C10006,33,4,21125.4,14635.488
105416238,2019-02-20,Female,30s,Offline,,B10001,17,67,61166.8,18340.935
105444562,2020-06-20,Male,30s,Online,2020-06-22,C10005,33,51,38219.9,19952.376
105482757,2019-05-29,Female,40s,Online,2019-06-01,D10002,4,51,39091.5,15125.110
105488765,2019-02-18,Male,30s,Online,2019-02-20,C10004,19,62,30980.6,25817.203
105514943,2017-10-09,Female,40s,Online,2017-10-12,C10004,6,52,34635.7,32800.800
105540263,2017-08-01,Female,30s,Offline,2017-08-07,A10002,39,29,19164.0,12569.406
105552279,2020-11-02,Female,50s,Online,2020-11-08,D10002,35,40,38228.3,17760.895
105554425,2020-01-22,Male,50s,Online,2020-01-29,C10003,12,43,30646.4,25538.676
105559146,2018-06-04,Male,30s,Online,2018-06-07,B10001,24,57,25805.8,14660.538
105566871,2018-10-19,Female,50s,Offline,,C10004,1,98,15218.7,13625.194
105664288,2020-05-19,Male,60s,Offline,2020-05-26,D10002,31,61,30538.6,15092.921
105670726,2020-09-20,Female,50s,Offline,2020-09-24,C10004,33,80,34165.5,18040.665
105696904,2017-04-07,Female,50s,Online,2017-04-10,D10002,3,57,37796.2,12832.848
105714070,2018-11-18,Male,20s,Offline,2018-11-22,C10002,8,42,11988.0,9990.020
105739390,2017-11-17,Male,50s,Offline,,D10001,1,65,13765.2,11471.038
105745398,2017-08-21,Female,50s,Offline,,C10001,39,94,17266.2,14388.533
105774152,2020-09-15,Female,20s,Offline,,C10001,38,53,37906.0,33112.139
105776727,2020-04-08,Male,30s,Online,2020-04-12,C10006,28,74,31763.4,26469.489
105823504,2020-05-23,Male,60s,Online,2020-05-29,A10002,37,53,30193.5,16674.458
105884015,2020-11-18,Female,30s,Online,2020-11-20,C10007,15,92,30707.2,12181.295
105893027,2018-03-09,Female,40s,Offline,,C10005,4,96,13304.0,11086.675
105945384,2020-08-02,Female,30s,Online,2020-08-04,C10006,31,64,31616.0,26346.689
105946242,2017-03-01,Male,20s,Offline,2017-03-02,B10001,30,41,14019.1,10010.597
105993878,2020-05-23,Male,20s,Online,2020-05-27,C10007,26,38,39074.4,18885.042
106066405,2017-09-29,Female,20s,Online,2017-10-04,C10003,39,86,39848.9,22356.297
106079709,2018-02-14,Male,20s,Offline,2018-02-16,B10001,39,82,13264.6,10384.206
106080567,2018-12-31,Male,20s,Online,2019-01-03,C10004,34,76,16935.3,14112.729
106093442,2019-05-26,Male,30s,Offline,,A10001,29,55,38033.7,18084.827
106103742,2020-05-09,Male,40s,Online,2020-05-14,C10006,39,55,30787.1,25655.933
106118762,2019-07-03,Female,20s,Offline,,C10002,26,58,31296.8,17816.159
106186997,2018-12-27,Female,20s,Offline,,B10001,7,47,30923.2,13673.920
106204164,2018-12-17,Male,60s,Offline,2018-12-19,B10001,17,24,45923.3,38269.441
106209313,2020-10-04,Male,40s,Online,2020-10-05,D10002,5,66,39664.3,33053.596
106213605,2020-04-22,Female,30s,Online,2020-04-22,C10003,23,28,39436.0,23159.723
106223905,2019-08-24,Female,50s,Offline,,D10001,28,44,38641.6,18636.607
106237637,2018-05-09,Female,30s,Online,2018-05-13,B10001,41,34,88588.4,73823.625
106242787,2019-04-02,Male,20s,Online,2019-04-02,C10003,35,56,32019.3,19583.459
106253945,2019-12-11,Female,40s,Offline,,C10006,34,25,35690.2,18681.521
106259095,2017-12-01,Female,30s,Offline,2017-12-02,C10005,5,26,29758.7,13256.712
106284415,2018-02-06,Female,20s,Offline,,D10001,35,32,14022.7,10411.079
106312739,2017-03-19,Female,30s,Online,2017-03-24,A10002,39,68,16102.2,7840.360
106323039,2018-02-06,Male,50s,Online,2018-02-07,A10001,6,48,19756.7,18674.386
106323468,2020-02-14,Female,20s,Offline,,C10002,5,41,31663.5,26386.238
106376254,2020-02-18,Female,30s,Online,2020-02-19,C10003,1,17,36839.5,14033.373
106433331,2020-01-02,Female,40s,Online,2020-01-08,D10002,38,69,30133.4,19517.021
106481826,2020-12-30,Female,60s,Online,2021-01-05,D10001,27,88,37486.7,13209.158
106540620,2017-03-16,Male,40s,Online,2017-03-18,B10001,39,63,18511.1,13734.661
106543195,2020-06-30,Male,30s,Offline,2020-07-09,A10002,18,41,30153.9,19194.005
106569802,2020-04-07,Female,30s,Online,2020-04-15,C10003,28,24,38024.8,31687.358
106601989,2019-04-30,Female,40s,Online,2019-05-08,B10001,33,47,37810.6,19848.038
106606709,2020-03-10,Male,60s,Online,2020-03-15,C10007,26,60,30378.8,25315.655
106653058,2020-04-07,Female,50s,Online,2020-04-12,A10002,1,57,31034.1,25861.723
106661641,2018-11-23,Female,20s,Offline,,C10003,7,69,38022.0,18301.416
106693828,2018-11-06,Male,60s,Offline,2018-11-13,C10003,14,85,19226.7,16022.240
106698977,2019-06-11,Female,20s,Offline,,C10001,26,49,31377.7,26148.069
106706702,2019-05-17,Female,20s,Online,2019-05-24,B10001,39,51,39483.2,14594.272
106762921,2020-07-07,Female,60s,Offline,,C10006,39,47,37213.1,31010.924
106867206,2018-03-03,Female,30s,Online,2018-03-05,A10001,32,69,24176.7,15408.474
106872785,2020-02-11,Female,20s,Offline,,C10006,19,98,30592.0,25493.356
106880080,2019-01-10,Male,30s,Online,2019-01-14,D10002,35,74,30192.8,25160.628
106948316,2017-06-20,Female,50s,Online,2017-06-22,C10004,5,96,69284.6,51762.620
106982648,2020-05-02,Male,40s,Online,2020-05-02,C10007,37,94,30506.3,25421.901
107004535,2017-02-04,Female,50s,Online,2017-02-11,B10001,24,98,13760.5,11467.083
107031142,2019-07-27,Male,30s,Online,2019-07-29,B10001,28,28,34841.6,29034.686
107092511,2020-02-09,Female,20s,Online,2020-02-15,C10003,5,65,37465.1,19625.290
107126843,2017-02-20,Female,30s,Offline,,B10001,4,49,21999.6,21696.327
107202374,2020-03-21,Female,30s,Online,2020-03-26,C10007,16,55,30757.6,13460.778
107203233,2017-08-28,Female,40s,Offline,,B10001,4,91,22997.4,18916.777
107208383,2019-01-25,Female,40s,Online,2019-01-31,A10001,32,43,31187.6,15677.998
107292068,2018-03-08,Female,30s,Offline,,C10003,30,84,58592.4,17877.359
107310950,2018-09-27,Male,40s,Online,2018-09-27,C10002,39,68,39196.3,16520.457
107312238,2020-07-14,Female,20s,Offline,2020-07-22,C10004,31,68,39951.9,22938.911
107347857,2017-10-12,Female,50s,Offline,2017-10-21,C10004,1,88,24360.5,14395.786
107359874,2018-06-02,Female,20s,Offline,,C10007,38,55,60187.8,13531.570
107392919,2019-08-08,Male,30s,Online,2019-08-09,B10001,15,29,37354.4,10048.034
107395493,2020-02-26,Male,50s,Offline,,B10001,15,95,32030.9,26692.387
107396352,2017-07-18,Female,30s,Offline,2017-07-20,D10001,10,44,14250.9,11875.747
107400643,2020-02-02,Male,50s,Online,2020-02-08,C10003,39,49,31557.1,26297.609
107404935,2017-08-11,Female,60s,Offline,,C10003,27,56,19205.1,16004.266
107422101,2020-07-31,Female,20s,Online,2020-08-04,C10004,20,70,30205.3,25171.094
107452571,2017-08-13,Male,20s,Online,2017-08-14,C10002,39,27,41896.9,13884.150
107498919,2018-07-23,Male,20s,Online,2018-07-28,C10001,29,98,78878.7,16617.323
107528102,2019-07-14,Female,50s,Online,2019-07-19,C10002,15,63,30148.0,18357.591
107528960,2019-02-15,Female,30s,Offline,2019-02-19,C10002,3,92,31087.2,16421.904
107531535,2017-09-03,Female,50s,Online,2017-09-05,C10006,9,52,18422.5,14010.815
107531964,2020-09-17,Female,40s,Offline,2020-09-18,C10001,39,21,39387.9,32823.269
107580459,2018-03-15,Male,30s,Online,2018-03-16,B10001,5,84,28379.9,19381.088
107595908,2019-09-03,Male,40s,Offline,2019-09-08,D10002,28,41,39134.3,37202.794
107626807,2018-12-30,Male,50s,Online,2019-01-01,C10007,24,77,24060.1,16669.437
107641828,2020-03-08,Female,30s,Online,2020-03-10,C10005,39,25,30308.2,14577.450
107656848,2017-08-21,Female,30s,Offline,,C10002,5,56,73262.8,18959.360
107660710,2020-08-07,Male,40s,Online,2020-08-13,C10007,37,41,39601.8,33001.467
107685601,2019-04-20,Female,20s,Online,2019-04-23,A10001,29,25,30263.5,25219.588
107731950,2020-11-27,Female,40s,Online,2020-11-30,A10001,21,52,30751.6,11004.165
107737100,2018-12-01,Male,20s,Offline,,D10001,39,67,18869.6,14903.419
107751691,2020-01-04,Female,20s,Offline,,C10003,16,98,31007.7,25839.768
107752120,2020-03-19,Female,60s,Online,2020-03-21,A10001,11,30,39173.4,32644.500
107776153,2020-09-01,Male,40s,Online,2020-09-02,C10006,39,56,34543.3,28786.048
107778298,2018-03-25,Male,30s,Online,2018-04-01,C10002,39,58,11666.7,9722.277
107828080,2017-11-17,Female,40s,Online,2017-11-20,C10006,15,58,32330.9,15417.922
107855975,2019-01-09,Male,50s,Offline,,B10001,4,66,39054.0,22350.412
107861554,2020-02-15,Male,30s,Offline,,A10002,4,53,37527.1,31272.584
107928073,2018-09-04,Male,50s,Offline,,C10002,5,70,12426.5,10355.400
107966268,2017-09-25,Female,60s,Offline,,C10003,29,42,87260.6,13358.158
107971417,2020-05-20,Male,30s,Offline,,C10001,5,75,30448.0,15862.532
108051240,2019-02-21,Male,20s,Offline,,B10001,32,45,15163.7,12636.411
108081281,2020-01-24,Female,20s,Online,2020-01-25,A10002,32,50,38434.1,15406.764
108120763,2018-10-06,Female,20s,Online,2018-10-13,A10001,1,64,17931.6,10087.260
108129775,2017-04-21,Male,30s,Offline,,B10001,6,17,45963.6,16020.047
108339631,2017-12-11,Male,50s,Online,2017-12-14,D10001,15,73,17054.4,14212.035
108354222,2018-11-25,Male,30s,Offline,2018-11-29,A10002,23,89,14972.9,12477.447
108356368,2020-11-26,Male,50s,Online,2020-12-01,C10002,39,70,34854.0,14258.180
108428037,2018-12-02,Female,20s,Online,2018-12-03,C10002,21,55,71364.8,19438.280
108494555,2020-08-23,Female,40s,Online,2020-08-24,D10002,40,48,31203.6,14843.809
108511722,2020-10-20,Male,30s,Online,2020-10-24,D10001,30,48,39144.1,32620.102
