year,week,value,disease
2019,16,14,Streptococcus Pneumoniae
2019,17,14,Streptococcus Pneumoniae
2019,18,16,Streptococcus Pneumoniae
2019,19,14,Streptococcus Pneumoniae
2019,20,15,Streptococcus Pneumoniae
2019,21,16,Streptococcus Pneumoniae
2019,22,13,Streptococcus Pneumoniae
2019,23,14,Streptococcus Pneumoniae
2019,24,13,Streptococcus Pneumoniae
2019,25,7,Streptococcus Pneumoniae
2019,26,9,Streptococcus Pneumoniae
2019,27,6,Streptococcus Pneumoniae
2019,28,11,Streptococcus Pneumoniae
2019,29,2,Streptococcus Pneumoniae
2019,30,3,Streptococcus Pneumoniae
2019,31,10,Streptococcus Pneumoniae
2019,32,7,Streptococcus Pneumoniae
2019,33,2,Streptococcus Pneumoniae
2019,34,7,Streptococcus Pneumoniae
2019,35,6,Streptococcus Pneumoniae
2019,36,3,Streptococcus Pneumoniae
2019,37,0,Streptococcus Pneumoniae
2019,38,10,Streptococcus Pneumoniae
2019,39,2,Streptococcus Pneumoniae
2019,40,10,Streptococcus Pneumoniae
2019,41,6,Streptococcus Pneumoniae
2019,42,9,Streptococcus Pneumoniae
2019,43,11,Streptococcus Pneumoniae
2019,44,8,Streptococcus Pneumoniae
2019,45,13,Streptococcus Pneumoniae
2019,46,11,Streptococcus Pneumoniae
2019,47,16,Streptococcus Pneumoniae
2019,48,13,Streptococcus Pneumoniae
2019,49,15,Streptococcus Pneumoniae
2019,50,9,Streptococcus Pneumoniae
2019,51,25,Streptococcus Pneumoniae
2019,52,26,Streptococcus Pneumoniae
2020,1,14,Streptococcus Pneumoniae
2020,2,28,Streptococcus Pneumoniae
2020,3,16,Streptococcus Pneumoniae
2020,4,9,Streptococcus Pneumoniae
2020,5,18,Streptococcus Pneumoniae
2020,6,13,Streptococcus Pneumoniae
2020,7,17,Streptococcus Pneumoniae
2020,8,12,Streptococcus Pneumoniae
2020,9,10,Streptococcus Pneumoniae
2020,10,4,Streptococcus Pneumoniae
2020,11,11,Streptococcus Pneumoniae
2020,12,8,Streptococcus Pneumoniae
2020,13,9,Streptococcus Pneumoniae
2020,14,4,Streptococcus Pneumoniae
2020,15,7,Streptococcus Pneumoniae
2020,16,6,Streptococcus Pneumoniae
2020,17,4,Streptococcus Pneumoniae
2020,18,1,Streptococcus Pneumoniae
2020,19,8,Streptococcus Pneumoniae
2020,20,5,Streptococcus Pneumoniae
2020,21,6,Streptococcus Pneumoniae
2020,22,5,Streptococcus Pneumoniae
2020,23,5,Streptococcus Pneumoniae
2020,24,6,Streptococcus Pneumoniae
2020,25,5,Streptococcus Pneumoniae
2020,26,2,Streptococcus Pneumoniae
2020,27,6,Streptococcus Pneumoniae
2020,28,3,Streptococcus Pneumoniae
2020,29,5,Streptococcus Pneumoniae
2020,30,3,Streptococcus Pneumoniae
2020,31,2,Streptococcus Pneumoniae
2020,32,4,Streptococcus Pneumoniae
2020,33,7,Streptococcus Pneumoniae
2020,34,0,Streptococcus Pneumoniae
2020,35,5,Streptococcus Pneumoniae
2020,36,4,Streptococcus Pneumoniae
2020,37,4,Streptococcus Pneumoniae
2020,38,4,Streptococcus Pneumoniae
2020,39,5,Streptococcus Pneumoniae
2020,40,2,Streptococcus Pneumoniae
2020,41,5,Streptococcus Pneumoniae
2020,42,4,Streptococcus Pneumoniae
2020,43,6,Streptococcus Pneumoniae
2020,44,1,Streptococcus Pneumoniae
2020,45,6,Streptococcus Pneumoniae
2020,46,2,Streptococcus Pneumoniae
2020,47,6,Streptococcus Pneumoniae
2020,48,3,Streptococcus Pneumoniae
2020,49,3,Streptococcus Pneumoniae
2020,50,7,Streptococcus Pneumoniae
2020,51,9,Streptococcus Pneumoniae
2020,52,7,Streptococcus Pneumoniae
